,0,1,2,3,4,5,6
162,6.美国队长2：冬日战士,动作,71853,39,29,美国,2014-04-04
163,7.猩球崛起2：黎明之战,科幻,70922,37,28,美国,2014-08-29
164,8.爸爸去哪儿,剧情,69628,32,41,中国,2014-01-31
165,9.分手大师,喜剧,66540,33,34,中国,2014-06-27
166,10.后会无期,爱情,62881,32,34,中国,2014-07-24
167,11.银河护卫队,动作,59601,39,23,美国,2014-10-10
168,12.超凡蜘蛛侠2,科幻,58559,39,23,美国,2014-05-04
169,13.匆匆那年,爱情,58162,35,25,中国,2014-12-05
170,14.澳门风云,喜剧,52470,32,31,中国/中国香港,2014-01-31
171,15.小时代3：刺金时代,爱情,52156,32,33,中国,2014-07-17
172,16.一步之遥,喜剧,49195,42,26,中国/中国香港,2014-12-18
173,17.哥斯拉,科幻,48142,38,26,美国,2014-06-13
174,18.霍比特人2：史矛革之战,魔幻,46271,41,26,美国,2014-02-21
175,19.同桌的你,爱情,45574,33,23,中国,2014-04-25
176,20.智取威虎山,动作,45527,41,33,中国/中国香港,2014-12-23
177,21.敢死队3,动作,45327,32,23,美国/中国,2014-09-01
178,22.京城81号,惊悚,41184,35,30,中国,2014-07-18
179,23.极品飞车,动作,41168,38,22,美国,2014-03-14
180,24.明日边缘,科幻,40641,38,24,美国,2014-06-06
181,25.北京爱情故事,爱情,40552,34,26,中国/中国香港,2014-02-13
182,排名：影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
183,1.捉妖记,奇幻,243997,37,42,中国香港/中国,2015-07-16
184,2.速度与激情7,动作,242658,39,42,美国/日本,2015-04-12
185,3.港囧,喜剧,161354,33,40,中国,2015-09-25
186,4.复仇者联盟2：奥创纪元,科幻,146439,40,29,美国,2015-05-12
187,5.夏洛特烦恼,喜剧,144160,32,34,中国,2015-09-30
188,6.侏罗纪世界,动作,142070,38,33,美国,2015-06-10
189,7.寻龙诀,动作,137391,36,45,中国香港/中国,2015-12-18
190,8.煎饼侠,喜剧,116031,33,39,中国,2015-07-17
191,9.澳门风云2,喜剧,97485,39,37,中国香港/中国,2015-02-19
192,10.西游记之大圣归来,动画,95643,35,34,中国,2015-07-10
193,11.碟中谍5：神秘国度,动作,86977,33,26,美国/中国,2015-09-08
194,12.霍比特人3：五军之战,奇幻,76650,40,30,美国/新西兰,2015-01-23
195,13.天将雄师,动作,74418,41,38,中国,2015-02-19
196,14.终结者：创世纪,科幻,72536,37,24,美国,2015-08-23
197,15.狼图腾,剧情,69960,39,34,中国/法国,2015-02-19
198,16.九层妖塔,动作,68293,34,30,中国,2015-09-30
199,17.蚁人,科幻,67176,36,22,美国,2015-10-16
200,18.末日崩塌,灾难,62967,37,24,美国,2015-06-02
201,19.恶棍天使,喜剧,59736,30,46,中国,2015-12-24
202,20.火星救援,科幻,58690,37,24,美国,2015-11-25
203,21.杀破狼2,动作,56040,36,25,中国/中国香港,2015-06-18
204,22.战狼,动作,54447,34,25,中国,2015-04-02
205,23.007：幽灵党,动作,54209,32,28,美国/英国,2015-11-13
206,24.哆啦A梦：伴我同行,动画,53032,35,22,日本,2015-05-28
207,25.超能陆战队,动画,52643,37,26,美国,2015-02-28
208,排名：影片名,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
209,1.美人鱼,喜剧,339210,37,44,中国/中国香港,2016-02-08
210,2.疯狂动物城,动画,153033,34,29,美国,2016-03-04
211,3.魔兽,动作,147214,37,25,美国,2016-06-08
212,4.美国队长3：英雄内战,动作,124625,35,25,美国,2016-05-06
213,5.西游记之孙悟空三打白骨精,奇幻,120101,37,36,中国,2016-02-08
214,6.湄公河行动,动作,118417,30,25,中国香港/中国,2016-09-30
215,7.澳门风云3,喜剧,111818,36,36,中国/中国香港,2016-02-08
216,8.盗墓笔记,奇幻,100439,35,27,中国,2016-08-05
217,9.功夫熊猫3,动画,100200,36,25,中国/美国,2016-01-29
218,10.长城,奇幻,97937,35,25,美国/中国,2016-12-16
219,11.奇幻森林,奇幻,97933,34,24,美国,2016-04-15
220,12.绝地逃亡,动作,88938,35,25,美国/中国香港/中国,2016-07-21
221,13.星球大战：原力觉醒,科幻,82557,37,24,美国,2016-01-09
